ID_Storage,Product_Name,Date,Opening Stock,Dispatch,Sales
1,A,20-Jan,20,195,150
2,A,20-Feb,30,166,174
3,A,20-Mar,30,175,185
4,A,20-Apr,25,50,90
5,A,20-May,9,75,70
6,A,20-Jun,21,95,180
7,A,20-Jul,$6.00,125,180
8,A,20-Aug,17,112,150
9,A,20-Sep,25,120,135
10,A,20-Oct,8,155,160
11,A,20-Nov,20,165,185
12,A,20-Dec,20,155,175
49,B,20-Jan,0,85,80
50,B,20-Feb,0,95,160
51,B,20-Mar,5,115,170
52,B,20-Apr,5,45,55
53,B,20-May,0,50,45
54,B,20-Jun,5,75,80
55,B,20-Jul,0,78,75
56,B,20-Aug,0,60,50
57,B,20-Sep,0,85,75
58,B,20-Oct,0,80,85
59,B,20-Nov,0,85,70
60,B,20-Dec,0,125,135
